state_dim,lstm_hidden,mlp_hidden,num_layers,dropout,max_len,rate,gamma,alpha,beta,lr,weight_decay,timestamp,action_length_count,action_length_mean,action_length_std,action_length_min,action_length_25%,action_length_median,action_length_75%,action_length_max,avg_acc_lens_count,avg_acc_lens_mean,avg_acc_lens_std,avg_acc_lens_min,avg_acc_lens_25%,avg_acc_lens_median,avg_acc_lens_75%,avg_acc_lens_max,optimal_avg_acc_lens_diff_count,optimal_avg_acc_lens_diff_mean,optimal_avg_acc_lens_diff_std,optimal_avg_acc_lens_diff_min,optimal_avg_acc_lens_diff_25%,optimal_avg_acc_lens_diff_median,optimal_avg_acc_lens_diff_75%,optimal_avg_acc_lens_diff_max
10,128,128,1,0.1,7,33,0.99,0.0025,1,5e-05,0.0001,2025-07-16 15:43:56,37682,3.8660368345629212,2.526300035076532,0,2.0,4.0,7.0,7,37682,2.8691692,2.4043028,0.0,0.8106175512075424,2.4775658,4.433122515678406,8.0,37682,-0.09120547,0.39518932,-6.999995,-0.02071744203567505,0.0,0.0069152372889220715,2.86321
10,128,128,1,0.1,7,33,0.99,0.004,1,5e-05,0.0001,2025-07-16 15:44:55,37682,4.0421155989597155,2.580790346132519,0,2.0,4.0,7.0,7,37682,2.8851533,2.4166281,0.0,0.8141436576843262,2.485957,4.487482309341431,8.0,37682,-0.07522181,0.36822146,-6.274108,-0.005383610725402832,0.0,0.005892817280255258,2.7478862
10,128,128,1,0.1,7,33,0.99,0.003,1,5e-05,0.0001,2025-07-16 15:45:05,37682,4.057587176901438,2.493966158528724,0,2.0,4.0,7.0,7,37682,2.8862376,2.4095254,0.0,0.8151348382234573,2.5026598,4.476361036300659,8.0,37682,-0.074137345,0.35151148,-6.245272,-0.008500784635543823,0.0,0.004725559381768107,2.9977593
10,128,128,1,0.1,7,33,0.99,0.002,1,5e-05,0.0001,2025-07-16 15:46:47,37682,3.9189268085558093,2.532833704364482,0,2.0,4.0,7.0,7,37682,2.871279,2.4064775,0.0,0.812992587685585,2.4764702,4.4419673681259155,8.0,37682,-0.08909587,0.39449605,-6.999995,-0.015353262424468994,0.0,0.0060405433177948,3.2445052
10,128,128,1,0.1,7,33,0.99,0.0035,1,5e-05,0.0001,2025-07-16 15:46:53,37682,3.7293933443023195,2.5585528039931806,0,1.0,4.0,7.0,7,37682,2.8466527,2.4004004,0.0,0.8139699697494507,2.4340458,4.394454717636108,8.0,37682,-0.11372185,0.44643405,-6.274108,-0.036046743392944336,0.0,0.007187727838754654,2.9977374
10,256,256,1,0.1,7,33,0.99,0.0025,1,5e-05,0.0001,2025-07-16 15:47:11,37682,4.283822514728517,2.5045869400508542,0,2.0,5.0,7.0,7,37682,2.9011927,2.4176338,0.0,0.8156339675188065,2.5244598,4.513980507850647,8.0,37682,-0.059182253,0.32077384,-6.0,-0.0004777069843839854,0.0,0.001548074185848236,2.9977593
10,256,256,1,0.1,7,33,0.99,0.0035,1,5e-05,0.0001,2025-07-16 15:47:40,37682,3.868956000212303,2.5388803228174686,0,2.0,4.0,7.0,7,37682,2.8676615,2.4043555,0.0,0.8081167340278625,2.4787483,4.439651608467102,8.0,37682,-0.0927131,0.39766577,-6.2005982,-0.019553691148757935,0.0,0.006721599260345101,3.2445052
10,256,256,1,0.1,7,33,0.99,0.002,1,5e-05,0.0001,2025-07-16 15:47:59,37682,4.129955947136564,2.5196884394568078,0,2.0,4.0,7.0,7,37682,2.8933396,2.4158876,0.0,0.8171770870685577,2.5053415,4.494771122932434,8.0,37682,-0.06703509,0.33998117,-6.9530754,-0.0027987156063318253,0.0,0.00412219762802124,2.8606522
10,256,256,1,0.1,7,33,0.99,0.004,1,5e-05,0.0001,2025-07-16 15:48:00,37682,3.472612918634892,2.486096557433635,0,1.0,3.0,6.0,7,37682,2.8071818,2.371898,0.0,0.8078005760908127,2.4043465,4.288291811943054,8.0,37682,-0.15319288,0.5063182,-6.999995,-0.10133326053619385,0.0,0.008010860532522202,2.9977593
10,256,256,1,0.1,7,33,0.99,0.003,1,5e-05,0.0001,2025-07-16 15:48:06,37682,4.150522796029935,2.5151219037399404,0,2.0,4.0,7.0,7,37682,2.889478,2.4177213,0.0,0.8141168504953384,2.496319,4.501640796661377,8.0,37682,-0.07089681,0.35106927,-6.999995,-0.003255631774663925,0.0,0.0030777454376220703,2.8606522
